wav_filename,transcription_riva,transcription_deepspeech,transcription_aws,transcription_human1,annotator_1,gender_1,audio_language_1,audio_quality_1,additional_notes_1,annotation_id_1,transcription_human2,annotator_2,gender_2,audio_language_2,audio_quality_2,additional_notes_2,annotation_id_2,country,city,station,datetime
nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_3.wav,su hundred 31 new cases of virus were recorded in 19 states and the federal cap territory abuja ,Sometimes a new kisses of the various when he called it in nine states and the federal utility and the jar,"1631 new cases of the virus were recorded in 19 states and the federal capital territory.
",<UNKNOWN> <UNKNOWN> one new case of the virus was recorded in 19 states and the <UNKNOWN> <UNKNOWN> <UNKNOWN>. ,16,Female,English,Bad,,603,<UNKNOWN> that one new case of the virus were recorded in 19 States of the <UNKNOWN> of Niger,1,Female,English,Okay,,131,Nigeria,Abeokuta,OgunRadioFM,2021-09-03T11.05.01
namibia_windhoek_EagleFM_2021-02-18T00.15.01_0.wav,okay dr. um what are the other dangers that a uti can cause ,One note and what are the other dangers that a duty i can cause,"Okay, dr um what are the other dangers that a u t i can cause?
",um okay Doctor. What are the other dangers that a UTI can cause?,2,Female,English,Okay,,662,"Okay, doctor. Umm, what are the other dangers that the UTI can cause?",10,Female,English,Good,,281,Namibia,Windhoek,EagleFM,2021-02-18T00.15.01
nigeria_ado-ekiti_EktiRadio_2021-10-08T16.40.01_6.wav,a cooler outbreak has killed about 20 residents in the balan community of newman lo ,A caller outbreak as killed about twenty residents in the ballant community of new man look,"A cholera outbreak has killed about 20 residents in the ballon community of new man look.
",A cholera outbreak has killed about twenty residents in the Balan community of <UNKNOWN>,6,Male,English,Good,,392,A color outbreak is killed about 20 residents in the balance community of New Mandimam Hos <TRUNC>,10,Male,English,Good,,156,Nigeria,Ado-Ekiti,EktiRadio,2021-10-08T16.40.01
namibia_windhoek_EagleFM_2021-06-07T03.45.01_8.wav,there's aging as far as i.e. concerned we take a look at chad which is also along the sao region the chadian lining up for the cyano farm vaccine as covid one nine vaccination campaign begins there let's see if we can take a listen to another report from african news ,And that is a getting his fire that is concerned i would take a look at chalices as along the side radiant the chaldeans lining up for the sin of one boxing as called night in vaccination campaign begins there let's see poeticules en on the report from africans,"And that is what we're getting as far as that is concerned. Uh, I will take a look at chad, which is also along the same region, the chadians lining up for the sign of farm vaccine. S Covid 19 vaccination campaign begins there. Let's see if we can take a listen to another report from African News.
","<TRUNC> that is concerned. we'll take a look at Chad, which is along the Zio region there. Chad is lining up for the sign of vaccine as covid 19 vaccination campaign begins there. Let's see if we can take a listen to another report from Africa News",2,Male,English,Okay,,518,"<UNKNOWN> 5 that is concerned ah we take a look at Chad, which is also along <UNKNOWN> region there. Chadians lining up for the Sinopharm vaccine that's called <UNKNOWN> vaccination campaign begins there let's <UNKNOWN> take a look at the report from Africa news",3,Male,English,Good,,326,Namibia,Windhoek,EagleFM,2021-06-07T03.45.01
south_africa_durban_EastCoastRadio_2021-08-11T10.00.01_7.wav,then the caucus of the ac then meets and then decides that yes we want to propose this person,In the process of the ice the needs and then decides that he is we want to propose this person,"In the caucus of the a n c then meets and then decides that yes, we want to propose this person.
","then the caucus of the ANC then meets, and then decides that yes, we want to propose this person",4,Male,English,Okay,,417,"then the caucus of the ANC then meets, and decides that yes, we want to propose this person",1,,,,,23,South Africa,Durban,EastCoastRadio,2021-08-11T10.00.01
nigeria_lagos_NigeriaInfoLagos_2021-02-01T11.55.01_16.wav,so that seems to be financially free you send your yes and location two zero eight one,That seems to be financially roused you yes and location to it one,"So that seems to be financially free, you send your yes and location to 081.
","So that seems to be financially free, you send your yes and location to 0 s 1",2,Female,English,Okay,,505,So that seems to be financial free. You send your yes and location to 081,8,Female,English,Okay,,94,Nigeria,Lagos,NigeriaInfoLagos,2021-02-01T11.55.01
south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_5.wav,good afternoon i'm wesley peterson twelve people have today appeared in court in connection with corruption linked to nelson mandela's memorial service,Out of the noon on wesley peterson to all people of to day appeared in court in connection with corruption linked to national memorial service,"Good afternoon, I'm Wesley Peterson, 12 people have today appeared in court in connection with corruption linked to Nelson Mandela's memorial service.
","Good afternoon, I'm Wesley Peterson. 12 people have today appeared in court in connection with corruption linked to Nelson Mandela's memorial service.",12,Male,English,Good,Not Covid Related,214,"Good afternoon, I'm Weasley Peterson, 12 people left today appeared in court in connection with corruption linked to Nelson Mandela's memorial service. ",16,Male,English,Good,,526,South Africa,Cape Town,CapeTalk,2021-02-12T14.00.01
nigeria_lagos_LagosTalks_2021-10-12T10.35.01_14.wav,it's important in nerve functioning blood crossing blood pressure regulation immune system health as well of course you can find calcium me things like milk and milk products,It's important in a functioning blood crossing blood pressure regulation immune system health as well cushioning house things like malconduct,"It's important in nerve functioning, blood clotting, blood pressure, regulation, immune system health as well. Of course you can find culture, I mean things like milk and milk products.
","is important in nerve functioning, blood clotting, blood pressure regulation, immune system health as well, off cause you can find calcium in thing like milk and milk products",19,Female,English,Good,,475,"it's important to nerve functioning, blood clotting, blood pressure regulation, immune system health as well. Of course you can find calcium in things like milk and milk product",11,Female,English,Good,,181,Nigeria,Lagos,LagosTalks,2021-10-12T10.35.01
kenya_nairobi_HBRRadio_2021-04-11T16.20.02_5.wav,the 3rd wave of corona is here with a new coronavirus variant i.e. more lethal with devastating effects ,The third wave of corona is here with a new crown of virus very into that is lethal with devastating effects,"The third wave of corona is here with a new coronavirus variant that is more lethal with devastating effects.
",The third wave of Corona is here with a new Corona virus variant that is more lethal with devastating effects .,20,Female,English,Good,,550,The third wave of corona is here with a new coronavirus variant that is more lethal with devastating effects.,2,Female,English,Good,,559,Kenya,Nairobi,HBRRadio,2021-04-11T16.20.02
nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_12.wav,the police said that the minors died because of lack of oxygen in the deep pits but did not comment about the use of tear gas,The ponies said in the mines i because of lack of obsidian in the diet but did not comment about the use of the gas,"The police said that the miners died because of lack of oxygen in the debate what did not comment about the use of tear gas?
",The police <UNKNOWN> died because of lack of oxygen in the deep <UNKNOWN> but did not comment about the use of tear gas,4,Female,English,Okay,,144,"The police said that the miners died because of lack of oxygen in the <UNKNOWN>, but it didn't comment about the use of tear gas.",16,Female,English,Okay,,602,Nigeria,Abeokuta,OgunRadioFM,2021-09-03T11.05.01
