wav_filename,transcription_riva,transcription_deepspeech,transcription_aws,transcription_human1,annotator_1,gender_1,audio_language_1,audio_quality_1,additional_notes_1,annotation_id_1,transcription_human2,annotator_2,gender_2,audio_language_2,audio_quality_2,additional_notes_2,annotation_id_2,country,city,station,datetime
nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_3.wav,su 100 31 new cases of virus were recorded in 19 states and the federal cap territory abuja ,sometimes a new kisses of the various when he called it in 9 states and the federal utility and the jar,1631 new cases of the virus were recorded in 19 states and the federal capital territory,<unknown> <unknown> 1 new case of the virus was recorded in 19 states and the <unknown> <unknown> <unknown> ,16,Female,English,Bad,,603,<unknown> that 1 new case of the virus were recorded in 19 states of the <unknown> of niger,1,Female,English,Okay,,131,Nigeria,Abeokuta,OgunRadioFM,2021-09-03T11.05.01
namibia_windhoek_EagleFM_2021-02-18T00.15.01_0.wav,okay doctor um what are the other dangers that a uti can cause ,1 note and what are the other dangers that a duty i can cause,okay dr um what are the other dangers that a u t i can cause,um okay doctor what are the other dangers that a uti can cause,2,Female,English,Okay,,662,okay doctor um what are the other dangers that the uti can cause,10,Female,English,Good,,281,Namibia,Windhoek,EagleFM,2021-02-18T00.15.01
nigeria_ado-ekiti_EktiRadio_2021-10-08T16.40.01_6.wav,a cooler outbreak has killed about 20 residents in the balan community of newman lo ,a caller outbreak as killed about 20 residents in the ballant community of new man look,a cholera outbreak has killed about 20 residents in the ballon community of new man look,a cholera outbreak has killed about 20 residents in the balan community of <unknown>,6,Male,English,Good,,392,a color outbreak is killed about 20 residents in the balance community of new mandimam hos <trunc>,10,Male,English,Good,,156,Nigeria,Ado-Ekiti,EktiRadio,2021-10-08T16.40.01
namibia_windhoek_EagleFM_2021-06-07T03.45.01_8.wav,there's aging as far as ie concerned we take a look at chad which is also along the sao region the chadian lining up for the cyano farm vaccine as covid 1 9 vaccination campaign begins there let's see if we can take a listen to another report from african news ,and that is a getting his fire that is concerned i would take a look at chalices as along the side radiant the chaldeans lining up for the sin of 1 boxing as called night in vaccination campaign begins there let's see poeticules en on the report from africans,and that is what we're getting as far as that is concerned uh i will take a look at chad which is also along the same region the chadians lining up for the sign of farm vaccine s covid 19 vaccination campaign begins there let's see if we can take a listen to another report from african news,<trunc> that is concerned we'll take a look at chad which is along the zio region there chad is lining up for the sign of vaccine as covid 19 vaccination campaign begins there let's see if we can take a listen to another report from africa news,2,Male,English,Okay,,518,<unknown> 5 that is concerned uh we take a look at chad which is also along <unknown> region there chadians lining up for the sinopharm vaccine that's called <unknown> vaccination campaign begins there let's <unknown> take a look at the report from africa news,3,Male,English,Good,,326,Namibia,Windhoek,EagleFM,2021-06-07T03.45.01
south_africa_durban_EastCoastRadio_2021-08-11T10.00.01_7.wav,then the caucus of the ac then meets and then decides that yes we want to propose this person,in the process of the ice the needs and then decides that he is we want to propose this person,in the caucus of the a n c then meets and then decides that yes we want to propose this person,then the caucus of the anc then meets and then decides that yes we want to propose this person,4,Male,English,Okay,,417,then the caucus of the anc then meets and decides that yes we want to propose this person,1,,,,,23,South Africa,Durban,EastCoastRadio,2021-08-11T10.00.01
nigeria_lagos_NigeriaInfoLagos_2021-02-01T11.55.01_16.wav,so that seems to be financially free you send your yes and location 2 0 8 1,that seems to be financially roused you yes and location to it 1,so that seems to be financially free you send your yes and location to 081,so that seems to be financially free you send your yes and location to 0 s 1,2,Female,English,Okay,,505,so that seems to be financial free you send your yes and location to 081,8,Female,English,Okay,,94,Nigeria,Lagos,NigeriaInfoLagos,2021-02-01T11.55.01
south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_5.wav,good afternoon i'm wesley peterson 12 people have today appeared in court in connection with corruption linked to nelson mandela's memorial service,out of the noon on wesley peterson to all people of to day appeared in court in connection with corruption linked to national memorial service,good afternoon i'm wesley peterson 12 people have today appeared in court in connection with corruption linked to nelson mandela's memorial service,good afternoon i'm wesley peterson 12 people have today appeared in court in connection with corruption linked to nelson mandela's memorial service,12,Male,English,Good,Not Covid Related,214,good afternoon i'm weasley peterson 12 people left today appeared in court in connection with corruption linked to nelson mandela's memorial service ,16,Male,English,Good,,526,South Africa,Cape Town,CapeTalk,2021-02-12T14.00.01
nigeria_lagos_LagosTalks_2021-10-12T10.35.01_14.wav,it's important in nerve functioning blood crossing blood pressure regulation immune system health as well of course you can find calcium me things like milk and milk products,it's important in a functioning blood crossing blood pressure regulation immune system health as well cushioning house things like malconduct,it's important in nerve functioning blood clotting blood pressure regulation immune system health as well of course you can find culture i mean things like milk and milk products,is important in nerve functioning blood clotting blood pressure regulation immune system health as well off cause you can find calcium in thing like milk and milk products,19,Female,English,Good,,475,it's important to nerve functioning blood clotting blood pressure regulation immune system health as well of course you can find calcium in things like milk and milk product,11,Female,English,Good,,181,Nigeria,Lagos,LagosTalks,2021-10-12T10.35.01
kenya_nairobi_HBRRadio_2021-04-11T16.20.02_5.wav,the 3rd wave of corona is here with a new coronavirus variant ie more lethal with devastating effects ,the third wave of corona is here with a new crown of virus very into that is lethal with devastating effects,the third wave of corona is here with a new coronavirus variant that is more lethal with devastating effects,the third wave of corona is here with a new corona virus variant that is more lethal with devastating effects ,20,Female,English,Good,,550,the third wave of corona is here with a new coronavirus variant that is more lethal with devastating effects,2,Female,English,Good,,559,Kenya,Nairobi,HBRRadio,2021-04-11T16.20.02
nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_12.wav,the police said that the minors died because of lack of oxygen in the deep pits but did not comment about the use of tear gas,the ponies said in the mines i because of lack of obsidian in the diet but did not comment about the use of the gas,the police said that the miners died because of lack of oxygen in the debate what did not comment about the use of tear gas,the police <unknown> died because of lack of oxygen in the deep <unknown> but did not comment about the use of tear gas,4,Female,English,Okay,,144,the police said that the miners died because of lack of oxygen in the <unknown> but it didn't comment about the use of tear gas,16,Female,English,Okay,,602,Nigeria,Abeokuta,OgunRadioFM,2021-09-03T11.05.01
